Index,Hook_X,Hook_Y,Hook_Z,Tip_X,Tip_Y,Tip_Z,Lowpoint_X,Lowpoint_Y,Lowpoint_Z,Hook_WF_X,Hook_WF_Y,Hook_WF_Z,Tip_WF_X,Tip_WF_Y,Tip_WF_Z,Lowpoint_WF_X,Lowpoint_WF_Y,Lowpoint_WF_Z,TFC_WF_X,TFC_WF_Y,TFC_WF_Z,TFC_World_X,TFC_World_Y,TFC_World_Z
1,-21.352145275441202,-9.226543524726349,199.75378335339823,-11.573099331540384,-5.956675598607669,186.90299299229798,-17.852155181325326,2.2274255343206195,192.45417599178285,61.66227114010121,-529.224926424947,369.7684418254579,71.51038065379919,-525.95512562994,356.91744537645275,65.20148928783954,-517.7709951371653,362.46867062222424,234.46412555761606,-419.999791104081,100.01013690146034,-313.05527839149863,513.104453463915,624.5890892089946
2,-22.846657979350375,-8.530908083673365,201.50458675064283,-12.357858361625825,-3.709651186994661,190.29372042086737,-19.700183705704802,3.2052923437092082,197.31446294801418,98.61046151082684,-528.5291411380481,371.5243028163247,109.15951136509227,-523.7079427280133,360.3132463075224,101.77945304223505,-516.7929621781107,367.3340592339861,272.9162239250199,-419.9996529076381,100.01516193623631,-274.66445956552286,515.2743654575964,624.5547836654983
3,-24.085323249267702,-8.954555055884864,200.2650440999546,-14.692784682537354,-5.332185294258196,188.55988034895256,-21.408599284192483,2.144963619956666,195.19612295910872,139.35058462373837,-528.9526394752818,370.289754472014,148.80602866476073,-525.3303308776952,358.58439871558517,142.05454779857985,-517.85314696106,365.2207035028633,314.88833402106104,-419.99949801528294,100.02016073307176,-232.7592139737578,517.6424318734428,624.5173208927995
4,-27.836527780775118,-8.671362865220187,204.85339399387718,-17.637469344987363,-3.1572637707067988,193.66223233871045,-25.157554286769525,3.102302993420551,200.83075705518613,175.52684900322498,-528.6692577916554,374.88315479353054,185.7860502324612,-523.1552169243034,363.6917987301062,178.22743867996525,-516.8956125171684,370.86039993291934,354.8404476405416,-419.999331269939,100.02513562069562,-192.87075793542522,519.8967469077244,624.481647480585
5,-25.63837225192718,-8.652299568574387,201.9876452296673,-15.859577938988226,-3.372537930180277,191.58090469809008,-22.475925531172567,3.1467791391775277,195.7769608877073,219.19254108589115,-528.6500368944367,372.0223249777075,229.0272618967919,-523.370329187328,361.6154021659891,222.3883616924378,-516.8509902464755,365.81149004045835,396.2925623910556,-419.99915530686656,100.03008522208125,-151.48468000281457,522.235488502049,624.4446261892011
6,-26.003817991880933,-9.106856986490065,199.5936589930698,-16.94827458367045,-6.095957544328625,189.25619778776914,-22.952602370119987,0.9185439429069289,195.17122955949367,256.7920866701497,-529.1044282354887,369.63324058247963,265.9031837790382,-526.0935823676891,359.29560905052534,259.8670664633094,-519.0790499395105,365.2106955299398,434.2446732308956,-419.99897332988536,100.03501082563803,-113.59305026761504,524.377152575056,624.4107202596726
7,-24.488504475934544,-9.486801755707539,201.16686760745387,-14.971779157314025,-7.305833018247296,190.56594371164115,-21.74791640388338,-0.15526222419928298,196.8527303382415,298.27106752457445,-529.4841824902192,371.21138491005877,307.84476188300107,-527.3032684982513,360.6102900603024,301.0348373953333,-520.1526650119642,366.8971370181271,474.21677275645493,-419.99878688490446,100.03991027792202,-73.68463624843022,526.6325180395687,624.3750073474641
8,-29.070252654985495,-8.787191883240062,203.88018964007364,-19.385740593373406,-4.193822795156212,193.72066271867993,-26.821824264191438,1.3346682314423213,199.69466893583805,336.1468348729795,-528.7843722365903,373.92962623145837,345.88594305317474,-524.1910553001915,363.7699223993998,338.4177532321007,-518.6625334754561,369.74399306445844,516.688854669996,-419.9985971298087,100.0447817465295,-31.280205897006322,529.0286071613344,624.3370604075891
9,-28.66031274819941,-9.314309923271447,200.86823753593097,-17.963962964445276,-5.678791242857309,192.29745676893938,-25.446040535067215,0.20865152652986504,196.93616876190816,377.025039309225,-529.3113162945876,370.9224880912357,387.76744814353765,-525.6758411967708,362.3515574241983,380.26043983842123,-519.7883747257771,366.99031293086,557.1409180556974,-419.9984046612563,100.04962817362508,9.107412963968715,531.3109422905214,624.300911954531
10,-25.788696833047243,-9.699065116695925,202.6713073546262,-16.030344202517064,-8.509659358940269,193.08951379191208,-23.426271553244995,-0.6824496568699,198.54003138686429,420.35902667557514,-529.6958678303475,372.7304218693795,430.16887050791286,-528.506511122217,363.1484753916908,422.74365014628745,-520.6792734012101,368.59903943329937,597.6129583932546,-419.99820875434693,100.05445412615018,49.514978107226796,533.5943817910403,624.2647417075265
11,-22.320047431035693,-11.930297370069471,198.37730284762364,-12.178365145442568,-13.270108817589822,190.3620413188513,-19.706152336897276,-4.3346544545310515,193.3571185957458,462.80278836373094,-531.9269223428792,368.44118538018733,472.9875444390651,-533.2667746353709,360.4258055330632,465.44365826529065,-524.3313051412347,363.4208882543734,636.5649788750225,-419.9980078442594,100.05926651132529,88.40493634482854,535.7922292394405,624.2299219607197
12,-25.72273973348058,-10.858583652699707,206.164199482856,-15.55922950780576,-7.984446716606052,195.66864877147884,-23.494068411269183,-1.8333363099011069,202.3313465713628,499.81027311138206,-530.8549595093201,376.23300834538503,510.03018313468795,-527.9808762831881,365.73728157341077,502.0595385941281,-521.8297316313019,372.4000531912552,677.016984143008,-419.9977992922818,100.06407127571109,128.7924992625337,538.0745199228949,624.1937563882301
13,-28.049858121459927,-10.82939770502029,201.23725962203704,-18.431005440758703,-8.618979215267432,191.79246893141706,-26.201772162504447,-2.119141559515708,198.26135552479238,539.9816358798946,-530.8255791233657,371.310809940673,549.6512416383595,-528.6152089851911,361.8658617226803,541.8457111178362,-522.1153380157953,368.33481792444314,719.4889766132179,-419.99757986722807,100.0688728460726,171.19684379957593,540.4705350014459,624.1557780340071
14,-27.088522123662017,-11.447139182077644,206.02253750755975,-16.085924640123586,-9.858587302786283,198.24811469895252,-24.559894368373868,-2.730681942371031,202.46192738537064,580.3692633478112,-531.4430608088711,376.1009733064833,591.4136387964695,-529.8545485048445,368.3264186900535,582.9170222890434,-522.726621632754,372.54026587341485,758.9409609889707,-419.997347975606,100.07367227344315,210.58597307454738,542.6965187908845,624.1204810084964
15,-25.13935709633392,-9.928546879075327,206.06720911434857,-15.665887200479421,-4.075887467231384,196.54293923449214,-24.0428505596792,-0.13362186498537326,204.11277892929903,621.2701822060164,-529.9242190947915,376.1504413929291,630.7948303200991,-524.0716085696494,366.625993855212,622.3771887691707,-520.1293038333645,374.1959334107387,797.8929404668293,-419.99710180325826,100.07846734604271,249.47589114720358,544.894347830483,624.0856155972692
16,-25.530102772323712,-11.010228281031255,203.61219571752767,-15.45570771220692,-8.276084262210963,194.52213340755623,-23.37088149883479,-2.2277710166938736,199.8430786281533,661.8646127149386,-531.0056466344781,373.70019341125436,671.987853346515,-528.2715494558134,364.60997400759453,664.0440851227377,-522.2232086476317,369.9309756265176,838.8649120919479,-419.9968384350218,100.08325317231207,290.38259606942677,547.2058956666002,624.0489309204297
17,-25.125810814158243,-11.150160111052843,204.3654234270275,-14.580113315903194,-8.643467248361175,195.97610234300726,-23.54400174999587,-2.3945139797900623,201.60658531116647,701.2168251892499,-531.1452882961713,374.4582128372309,711.8076029900653,-528.6386387331904,366.06874508651896,702.8134568055909,-522.3896562120979,371.6992894661224,877.8168672113608,-419.9965560420576,100.08802406976287,329.2724909668455,549.4037001467391,624.0140286883574
18,-23.617260120039468,-11.928598786792342,206.41218106205602,-13.703051814075323,-10.900246902928748,197.29865931350713,-21.47187679927508,-3.478587096709464,202.9567058143284,743.1863203774601,-531.9234050253128,376.5097592514039,753.1494996053981,-530.8951005832389,367.3960875267457,745.3502695417491,-523.4734110792573,373.0541892422027,918.2887945860375,-419.9962494412461,100.09277006071683,369.6799471337763,551.687056352401,623.9777457878915
19,-27.978052932319716,-11.624431057482061,206.28269677889523,-18.228257538882435,-9.710846997450362,196.09369073255152,-26.014746515598027,-3.0096433883749607,203.87571502292505,781.7981086924763,-531.6188926283394,376.3849881096952,791.6026528642952,-529.7053618484706,366.1958115823622,783.7743473403536,-523.0041172147805,373.9779262827295,961.2606699446469,-419.99590768401674,100.09747252778342,412.58338599895643,554.1111195966281,623.9391966472942
20,-27.466947340227218,-12.746672279232516,208.19409892102806,-17.38672583710218,-11.901322719621751,198.23259556981293,-26.219428594996966,-4.700753984324186,205.5964675250441,822.7507331260308,-532.7407262086572,378.3010613604548,832.8844808650234,-531.8954289166553,368.33939525833534,824.0122081969118,-524.6948212527673,375.70335063348733,1001.7124461080366,-419.9955129419171,100.10210165449752,452.97072867330877,556.3932269019894,623.9028405438444
21,-22.451470485884656,-12.554681295387102,207.51271036739647,-13.432987623778374,-11.36393389796876,197.5185584862331,-20.984226892953025,-4.416142643100528,204.85736272693177,865.2180045174146,-532.5482457627276,377.6241620622967,874.2901878239416,-531.3575509330616,367.62984586655665,866.6995145959203,-524.4097207546786,374.96873347521,1039.1605597709745,-419.99502156319585,100.10659620607184,490.35918227955995,558.5060931783348,623.8690635722729
22,-6.181387471514556,-11.928542862890993,185.37310705641835,2.161404505272409,-12.38642957429699,178.62565064792628,-4.629147245328239,-5.065175964622124,182.93076003226986,905.2610795404283,-531.9216044279631,355.4885876471178,913.6401273869121,-532.3795267294115,348.7410229219043,906.8264419318875,-525.0582500983676,353.0461689410415,1062.8145725360312,-419.99440139264277,100.11096229026907,513.9754324590377,559.8422128922745,623.847458819806
23,27.440344037898875,-11.303203304321869,202.3055767500288,35.634860829938525,-7.139306695634796,188.98491095643192,25.761490248735623,-2.9860399654130525,185.55956576956544,939.8804463779968,-531.2943396665596,372.4264783315022,948.14653060508,-527.1305127824596,359.1055826549667,938.2915578545674,-522.9772627529294,355.6801834114211,1063.903087967357,-419.99255646529986,100.11615056198985,515.0619520060616,559.9087254151049,623.8447797342012
